ALIERO DANGALADIMA I 
ALIERO DANGALADIMA II 
ALIERO S/FADA I
ALIERO S/FADA II
DANWARAI 
DANWARAI
JIGA BIRNI
JIGA MAKERA
KASHIN ZAMA
RAFIN BAUNA
SABIYAL
SABIYAL 
BUI
CHIBIKE
DAURA/SAKKWABE/JARKUKA
GORUN DIKKO
FALDE
FESKE/JAFFEJI
FESKE JAFFEJI
GUMUMDAI/RAFIN TSAKA
GUMUNDAI/RAFIN TSAKA
KANGIWA
LAIMA/JANTULLU
LAIMA JAN TULLU
SARKA/DANTSOHO
YELDU
ALWASA/GOTOMO
DIKKO
FELANDE
GALADIMA
GULMA
GWAZANGE/KISAWA/U GYAGA
KOKANI NORTH
KOKANI SOUTH
LAILABA
SAUWA/KAURAR SANI
TUNGAR ZAZZAGAWA/RUMBUKI/SARKAWA
AUGIE NORTH
AUGIE SOUTH
BAGAYE/MERA
BAYAWA NORTH
BAWAYA NORTH
BAYAWA SOUTH
BIRNIN TUDU/GUDALE
BUBUCE
BUBUCHE
DUNDAYE/KWAIDO/ZAGI/ILLELA
TIGGI/AWADE
YOLA
BAGUDO/TUGA
BAHINDI/BOKI-DOMA
BANI/TSAMIYA/KALI
ILLO/SABON/GARI/YANTAU
KAOJE/GWAMBA
KENDE/KURGU
LAFAGU/GANTE
LOLO/GIRIS
MATSINKA/GEZA
SHARABI/KWANGUWAI
ZAGGA/KWASARA
NASSARAWA I
NASSARAWA - I
NASSARAWA II
BIRNIN KEBBI MARAFA
BIRNIN KEBBI DANGALADIMA
KOLA /TARASA
MAKERA
MAURIDA /KARYO/UNG. MIJIN-NANA
GWADANGAJI
ZAURO
GAWASU
KARDI/YAMAMA
LAGGA
GULUMBE
AMBURSA
UJARIYO
BUNZA MARAFA
BUNZA DANGALADIMA
GWADE
MAIDAHINI
RAHA
SABON BIRNI
SALWAI
TILLI/HILEMA
TUNGA
ZOGIRMA
BANI ZUMBU
BANIZUMBU
BUMA
DOLEKAINA
DOLE KAINA
FANA
MAIHAUSAWA
MAI HAUSAWA
KYANGAKWAI
GEZA
KAMBA / KAMBA
KAMBA KAMBA
KWAKKWABA
KWAKWABA
MAIGWAZA
MAI GWAZA
SHIKO
BAJIDA
BANGU/GARINISA
BIRNIN TUDU
MAHUTA
GULBIN KUKA/MAIJARHULA
INGA(BULU) MAIKENDE
KANGI
FAKAI/ZUSSUN
MARAFA
PENIN AMANA/PENIN GABA
CHEBERU/BADA
DALIJAN
DODORU
GULMARE
GWANDU MARAFA
GWANDU SARKIN FAWA
KAMBAZA
MARUDA
MALISA
MASAMA KWASGARA
ALELU/GEHURU
DANGAMAJI
DAN GAMAJI 
DUNBEGU/BASAURA
DUNBEGU BASAURA
GINDI/NASSARAWA/KYARMI/GALBI
GINDI/ NASSARAWA/KYARMI/GALBI
JANDUTSI/BIRNIN MALAM
JEGA FIRCHIN
JEGA KOKANI
JEGA MAGAJI 'B'
JEGA MAGAJI 'A'
KATANGA/FAGADA
KATANGA FAKADA
KIMBA
BADARIYA/MAGARZA
DANGOMA/GAYI
DIGGI
ETENE
KALGO
KUKA
MUTUBARI
NAYILWA
WUROGAURI
